Segment Number,Time,Position,Velocity,Acceleration
1,.020,-.000,-.000,-240.000
1,.020,-.048,-4.800,-240.000
1,.020,-.192,-9.600,-240.000
1,.020,-.432,-14.400,-240.000
1,.020,-.768,-19.200,-240.000
1,.020,-1.200,-24.000,-240.000
1,.020,-1.728,-28.800,-240.000
1,.020,-2.352,-33.600,-240.000
1,.020,-3.072,-38.400,-240.000
1,.020,-3.888,-43.200,-240.000
1,.020,-4.800,-48.000,-240.000
1,.020,-5.808,-52.800,-240.000
1,.020,-6.912,-57.600,-240.000
2,.020,-7.500,-60.000,.000
2,.020,-8.700,-60.000,.000
3,.020,-9.500,-60.000,240.000
3,.020,-10.652,-55.200,240.000
3,.020,-11.708,-50.400,240.000
3,.020,-12.668,-45.600,240.000
3,.020,-13.532,-40.800,240.000
3,.020,-14.300,-36.000,240.000
3,.020,-14.972,-31.200,240.000
3,.020,-15.548,-26.400,240.000
3,.020,-16.028,-21.600,240.000
3,.020,-16.412,-16.800,240.000
3,.020,-16.700,-12.000,240.000
3,.020,-16.892,-7.200,240.000
3,.020,-16.988,-2.400,240.000
3,.020,-17.000,.000,.000
