Segment Number,Time,Position,Velocity,Acceleration
1,.020,-.000,-.000,-240.000
1,.020,-.048,-4.800,-240.000
1,.020,-.192,-9.600,-240.000
1,.020,-.432,-14.400,-240.000
1,.020,-.768,-19.200,-240.000
1,.020,-1.200,-24.000,-240.000
1,.020,-1.728,-28.800,-240.000
1,.020,-2.352,-33.600,-240.000
1,.020,-3.072,-38.400,-240.000
1,.020,-3.888,-43.200,-240.000
1,.020,-4.800,-48.000,-240.000
1,.020,-5.808,-52.800,-240.000
1,.020,-6.912,-57.600,-240.000
2,.020,-7.500,-60.000,.000
2,.020,-8.700,-60.000,.000
2,.020,-9.900,-60.000,.000
2,.020,-11.100,-60.000,.000
2,.020,-12.300,-60.000,.000
2,.020,-13.500,-60.000,.000
2,.020,-14.700,-60.000,.000
2,.020,-15.900,-60.000,.000
2,.020,-17.100,-60.000,.000
2,.020,-18.300,-60.000,.000
2,.020,-19.500,-60.000,.000
2,.020,-20.700,-60.000,.000
2,.020,-21.900,-60.000,.000
2,.020,-23.100,-60.000,.000
2,.020,-24.300,-60.000,.000
2,.020,-25.500,-60.000,.000
2,.020,-26.700,-60.000,.000
2,.020,-27.900,-60.000,.000
2,.020,-29.100,-60.000,.000
2,.020,-30.300,-60.000,.000
2,.020,-31.500,-60.000,.000
2,.020,-32.700,-60.000,.000
2,.020,-33.900,-60.000,.000
2,.020,-35.100,-60.000,.000
2,.020,-36.300,-60.000,.000
2,.020,-37.500,-60.000,.000
2,.020,-38.700,-60.000,.000
2,.020,-39.900,-60.000,.000
2,.020,-41.100,-60.000,.000
2,.020,-42.300,-60.000,.000
2,.020,-43.500,-60.000,.000
2,.020,-44.700,-60.000,.000
2,.020,-45.900,-60.000,.000
2,.020,-47.100,-60.000,.000
2,.020,-48.300,-60.000,.000
2,.020,-49.500,-60.000,.000
2,.020,-50.700,-60.000,.000
2,.020,-51.900,-60.000,.000
2,.020,-53.100,-60.000,.000
2,.020,-54.300,-60.000,.000
2,.020,-55.500,-60.000,.000
2,.020,-56.700,-60.000,.000
2,.020,-57.900,-60.000,.000
2,.020,-59.100,-60.000,.000
2,.020,-60.300,-60.000,.000
2,.020,-61.500,-60.000,.000
2,.020,-62.700,-60.000,.000
2,.020,-63.900,-60.000,.000
2,.020,-65.100,-60.000,.000
2,.020,-66.300,-60.000,.000
2,.020,-67.500,-60.000,.000
2,.020,-68.700,-60.000,.000
2,.020,-69.900,-60.000,.000
3,.020,-70.500,-60.000,240.000
3,.020,-71.652,-55.200,240.000
3,.020,-72.708,-50.400,240.000
3,.020,-73.668,-45.600,240.000
3,.020,-74.532,-40.800,240.000
3,.020,-75.300,-36.000,240.000
3,.020,-75.972,-31.200,240.000
3,.020,-76.548,-26.400,240.000
3,.020,-77.028,-21.600,240.000
3,.020,-77.412,-16.800,240.000
3,.020,-77.700,-12.000,240.000
3,.020,-77.892,-7.200,240.000
3,.020,-77.988,-2.400,240.000
3,.020,-78.000,.000,.000
